benchmark,method,runs,mean_final_residual,mean_final_ci_lo,mean_final_ci_hi,median_final_residual,median_final_ci_lo,median_final_ci_hi,success_rate,success_ci_lo,success_ci_hi,median_hit_evaluations,mean_wall_seconds,median_auc_log_residual,median_x0_norm,median_curve_last
central,GA_0.00,500,3.023620698693222e-05,2.8796388112776817e-05,3.1709891595184656e-05,2.852120475785588e-05,2.6879052922176168e-05,3.0404902315266547e-05,0.09,0.066,0.116,17001.0,2.7948595028871788,-75400.31011910588,1.0599822456911793e-05,2.852120475785588e-05
central,GA_0.10,500,2.9626008522298048e-05,2.832260526356991e-05,3.0956755563267584e-05,2.77862679850586e-05,2.531979134622489e-05,2.942677901816436e-05,0.084,0.06,0.108,12751.0,2.823530603577441,-99342.45273490186,1.0326685967607916e-05,2.77862679850586e-05
central,Halpern,500,0.0001275461634429,0.0001260623283764,0.0001290200008556,0.0001250411305241,0.0001232788599864,0.0001270100261529,0.0,0.0,0.0,inf,2.008020867952612,-86721.03839125668,0.9159174048230624,0.0001250411305241
central,Mann,500,0.000106034254406,0.0001059554929331,0.0001061159175893,0.0001060625274283,0.0001059636167115,0.0001061736657756,0.0,0.0,0.0,inf,2.011099258055212,-88509.57404335395,0.9159174048230624,0.0001060625274283
shifted,GA_0.00,500,2.61704157018314e-05,2.4912928831888605e-05,2.740727388899759e-05,2.468485779992461e-05,2.354968116284218e-05,2.570371263710692e-05,0.122,0.094,0.152,14001.0,3.5432241546701406,-92773.13265435705,0.6041522992827151,2.468485779992461e-05
shifted,GA_0.10,500,2.968981614615064e-05,2.8333650653103656e-05,3.10796507959035e-05,2.737377636511166e-05,2.6171097375334213e-05,3.0227174825005628e-05,0.1,0.074,0.126,11951.0,3.4584622735828163,-98626.22815796592,0.6041527520654242,2.737377636511166e-05
shifted,Halpern,500,9.200553941054558e-05,9.01137164386767e-05,9.39492211478149e-05,9.16067808129126e-05,8.841256656349572e-05,9.367662595230918e-05,0.0,0.0,0.0,inf,3.7045370273956215,-90099.04004606033,0.9159174048230624,9.16067808129126e-05
shifted,Mann,500,0.0001011751986229,0.00010071756207,0.0001016024128356,0.0001028561730228,0.000102298740887,0.0001031833055614,0.0,0.0,0.0,inf,3.470792230654624,-88842.862555409,0.9159174048230624,0.0001028561730228
